"Date","Open","low","close","high_to_low","open_to_close","high"
"Date","Open","High","Low","Close","",""
"(High-Low)","","","","","(Open-Close)",""
"2021-05-12","32717.65","32352.30","32452.30","395.40","265.35","32747.70"
"2021-05-11","32640.95","32611.70","32872.20","542.60","-231.25","33154.30"
"2021-05-10","33175.30","33028.15","33142.40","269.45","32.90","33297.60"
"2021-05-07","33041.65","32771.35","32904.50","487.80","137.15","33259.15"
"2021-05-06","32900.75","32564.00","32827.80","392.35","72.95","32956.35"
"2021-05-05","32577.10","32068.55","32783.70","793.60","-206.60","32862.15"
"2021-05-04","32610.40","32191.40","32270.35","820.15","340.05","33011.55"
"2021-05-03","32368.55","31906.55","32465.75","660.05","-97.20","32566.60"
"2021-04-30","33112.40","32663.40","32781.80","791.85","330.60","33455.25"
"2021-04-29","33901.60","33304.60","33714.50","982.40","187.10","34287.00"
"2021-04-28","32865.50","32840.30","33722.80","937.40","-857.30","33777.70"
"2021-04-27","32228.95","32152.95","32735.35","654.15","-506.40","32807.10"
"2021-04-26","32316.65","32144.80","32275.15","458.90","41.50","32603.70"
"2021-04-23","31490.60","31377.15","31722.30","771.25","-231.70","32148.40"
"2021-04-22","30763.50","30555.25","31782.60","1,279.25","-1,019.10","31834.50"
"2021-04-20","31568.95","30891.00","31112.70","840.65","456.25","31731.65"
"2021-04-19","30993.45","30405.65","31208.40","898.65","-214.95","31304.30"
"2021-04-16","32161.45","31911.90","31977.45","413.25","184.00","32325.15"
"2021-04-15","31929.10","31406.40","32112.85","780.65","-183.75","32187.05"
"2021-04-13","30901.80","30722.85","31771.60","1,162.60","-869.80","31885.45"
"2021-04-12","31637.90","30520.30","30792.00","1,177.75","845.90","31698.05"
"2021-04-09","32636.90","32329.95","32448.05","642.20","188.85","32972.15"
"2021-04-08","33154.20","32704.75","32782.85","602.05","371.35","33306.80"
"2021-04-07","32529.70","32141.55","32991.20","1,050.15","-461.50","33191.70"
"2021-04-06","32915.65","32338.40","32501.35","669.25","414.30","33007.65"
"2021-04-05","33649.15","32330.15","32678.85","1,367.60","970.30","33697.75"
"2021-04-01","33588.00","33208.75","33858.00","740.40","-270.00","33949.15"
"2021-03-31","33764.80","33151.80","33303.90","621.30","460.90","33773.10"
"2021-03-30","33615.90","33564.55","33875.10","426.25","-259.20","33990.80"
"2021-03-26","33605.05","33166.10","33318.20","444.55","286.85","33610.65"
"2021-03-25","33420.75","32415.25","33006.45","1,134.90","414.30","33550.15"
"2021-03-24","33894.70","33203.40","33293.25","767.25","601.45","33970.65"
"2021-03-23","33747.95","33622.00","34184.40","738.05","-436.45","34360.05"
"2021-03-22","34088.40","33389.15","33603.45","759.75","484.95","34148.90"
"2021-03-19","33590.40","33361.00","34161.60","994.40","-571.20","34355.40"
"2021-03-18","34577.50","33597.55","33856.80","1,162.30","720.70","34759.85"
"2021-03-17","34905.05","34126.85","34229.25","973.65","675.80","35100.50"
"2021-03-16","35352.00","34744.60","34804.60","660.45","547.40","35405.05"
"2021-03-15","35544.25","34430.65","35182.55","1,113.60","361.70","35544.25"
"2021-03-12","36497.35","35188.05","35496.65","1,309.30","1,000.70","36497.35"
"2021-03-10","36112.25","35764.35","35938.30","412.55","173.95","36176.90"
"2021-03-09","35705.90","35544.95","35865.65","532.85","-159.75","36077.80"
"2021-03-08","35462.45","35090.75","35275.75","736.55","186.70","35827.30"
"2021-03-05","35458.50","34893.25","35228.15","722.80","230.35","35616.05"
"2021-03-04","35575.65","35519.25","35802.50","797.15","-226.85","36316.40"
"2021-03-03","35754.45","35570.55","36368.05","884.60","-613.60","36455.15"
"2021-03-02","35458.15","35002.45","35419.70","744.60","38.45","35747.05"
"2021-03-01","35374.25","34983.75","35296.00","597.35","78.25","35581.10"
"2021-02-26","35806.65","34658.70","34803.60","1,244.20","1,003.05","35902.90"
"2021-02-25","36763.15","36494.00","36549.00","738.20","214.15","37232.20"
"2021-02-24","35205.40","35060.65","36452.30","1,507.00","-1,246.90","36567.65"
"2021-02-23","35540.55","34976.00","35116.95","704.85","423.60","35680.85"
"2021-02-22","35874.30","35097.55","35257.20","1,031.35","617.10","36128.90"
"2021-02-19","36371.55","35584.60","35841.60","1,071.60","529.95","36656.20"
"2021-02-18","37088.75","36367.45","36587.00","741.30","501.75","37108.75"
"2021-02-17","37041.95","36764.25","36910.95","567.20","131.00","37331.45"
"2021-02-16","37492.60","36762.75","37098.40","946.00","394.20","37708.75"
"2021-02-15","36501.40","36405.10","37306.25","1,044.80","-804.85","37449.90"
"2021-02-12","35736.60","35700.25","36108.90","622.55","-372.30","36322.80"
"2021-02-11","35687.25","35573.30","35752.10","436.15","-64.85","36009.45"
"2021-02-10","36042.35","35428.15","35783.10","799.05","259.25","36227.20"
"2021-02-09","36058.80","35636.85","36056.50","840.30","2.30","36477.15"
"2021-02-08","36073.85","35872.25","35983.65","594.20","90.20","36466.45"
"2021-02-05","35634.95","35545.00","35654.50","1,070.20","-19.55","36615.20"
"2021-02-04","34548.90","34238.90","35344.80","1,174.25","-795.90","35413.15"
"2021-02-03","34555.60","34011.90","34758.45","896.15","-202.85","34908.05"
"2021-02-02","33589.05","33583.15","34267.90","1,069.35","-678.85","34652.50"
"2021-02-01","30976.35","30906.45","33089.05","2,398.85","-2,112.70","33305.30"
"2021-01-29","30700.65","30254.55","30565.50","857.40","135.15","31111.95"
"2021-01-28","29812.30","29687.70","30358.30","776.70","-546.00","30464.40"
"2021-01-27","31236.25","30165.65","30284.55","1,121.40","951.70","31287.05"
"2021-01-25","31507.15","31013.65","31198.40","683.90","308.75","31697.55"
"2021-01-22","32088.00","31119.90","31167.25","1,011.50","920.75","32131.40"
"2021-01-21","32732.80","31985.55","32186.90","856.75","545.90","32842.30"
"2021-01-20","32388.95","32322.90","32543.70","284.55","-154.75","32607.45"
"2021-01-19","32082.90","31863.95","32424.85","601.00","-341.95","32464.95"
"2021-01-18","32275.15","31650.90","31811.75","790.60","463.40","32441.50"
"2021-01-15","32508.90","32044.35","32246.80","500.45","262.10","32544.80"
"2021-01-14","32526.70","32442.35","32519.75","276.60","6.95","32718.95"
"2021-01-13","32546.60","32148.25","32574.65","535.25","-28.05","32683.50"
"2021-01-12","31835.05","31725.85","32339.00","672.10","-503.95","32397.95"
"2021-01-11","32280.30","31836.95","31998.90","451.50","281.40","32288.45"
"2021-01-08","32298.05","32002.95","32084.20","295.10","213.85","32298.05"
"2021-01-07","32129.80","31911.50","31956.00","265.90","173.80","32177.40"
"2021-01-06","31839.95","31548.15","31797.90","434.15","42.05","31982.30"
"2021-01-05","31041.10","30935.55","31722.25","832.10","-681.15","31767.65"
"2021-01-04","31485.15","30893.65","31212.45","595.95","272.70","31489.60"
"2021-01-01","31297.30","31188.25","31225.85","196.10","71.45","31384.35"
"2020-12-31","31295.90","31088.10","31264.05","321.40","31.85","31409.50"
"2020-12-30","31479.80","31007.15","31303.05","503.10","176.75","31510.25"
"2020-12-29","31006.90","31002.60","31322.50","356.75","-315.60","31359.35"
"2020-12-28","30558.85","30538.15","30880.95","390.90","-322.10","30929.05"
"2020-12-24","30071.65","30007.80","30402.20","538.05","-330.55","30545.85"
"2020-12-23","29560.75","29446.00","29883.30","495.40","-322.55","29941.40"
"2020-12-22","29607.50","28976.75","29625.95","734.40","-18.45","29711.15"
"2020-12-21","30595.80","29201.20","29456.45","1,406.30","1,139.35","30607.50"
"2020-12-18","30841.85","30374.50","30714.65","479.55","127.20","30854.05"
"2020-12-17","30791.20","30643.90","30847.05","301.30","-55.85","30945.20"
"2020-12-16","30920.35","30587.10","30698.40","345.15","221.95","30932.25"
"2020-12-15","30805.40","30345.75","30691.05","460.10","114.35","30805.85"
"2020-12-14","30735.15","30624.25","30745.90","221.55","-10.75","30845.80"
"2020-12-11","30555.30","30328.45","30604.85","483.35","-49.55","30811.80"
"2020-12-10","30545.35","30202.10","30510.35","407.90","35.00","30610.00"
"2020-12-09","30335.05","30326.70","30709.40","480.55","-374.35","30807.25"
"2020-12-08","30300.30","30025.20","30261.90","338.60","38.40","30363.80"
"2020-12-07","30062.60","29950.60","30211.55","403.60","-148.95","30354.20"
"2020-12-04","29573.40","29473.50","30052.40","688.80","-479.00","30162.30"
"2020-12-03","29728.90","29379.40","29448.75","433.60","280.15","29813.00"
"2020-12-02","29876.70","29149.90","29463.15","736.35","413.55","29886.25"
"2020-12-01","29844.80","29511.00","29817.85","408.75","26.95","29919.75"
"2020-11-27","29622.00","29368.70","29609.05","348.15","12.95","29716.85"
"2020-11-26","29370.40","28923.10","29549.75","699.90","-179.35","29623.00"
"2020-11-25","30021.90","29132.30","29196.40","1,065.55","825.50","30197.85"
"2020-11-24","29265.60","29206.75","29737.25","621.05","-471.65","29827.80"
"2020-11-23","29432.80","28852.90","29024.20","639.40","408.60","29492.30"
"2020-11-20","28935.75","28580.90","29236.00","825.80","-300.25","29406.70"
"2020-11-19","29302.60","28819.55","28903.05","807.65","399.55","29627.20"
